# Chandrayaan-1 SWIM ion data 
# generated using SwimStartEnergyExtract at 20110426T230000 on iapetus
# Orbit :orb_1070.swim
# Energy steps [eV] : 106, 132, 165, 206, 258, 322, 403, 503, 629, 786, 983, 1229, 1536, 1920, 2400, 3000 
2009-02-05T07:14:10.736  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
2009-02-05T07:14:18.737  2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
2009-02-05T07:14:28.542  0 1 0 0 0 0 0 1 1 1 1 1 0 0 0 0
2009-02-05T07:15:00.542  0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
2009-02-05T07:15:48.545  0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0
2009-02-05T07:15:56.543  0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
2009-02-05T07:16:20.551  0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0
2009-02-05T07:16:28.551  0 0 0 0 0 0 0 0 0 1 1 1 0 0 2 0
2009-02-05T07:16:52.549  0 0 0 0 0 0 0 0 0 0 0 3 0 1 1 0
2009-02-05T07:17:40.552  0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
2009-02-05T07:17:48.553  0 0 0 0 1 0 0 0 0 0 0 1 2 1 0 0
2009-02-05T07:17:56.553  0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0
2009-02-05T07:19:24.956  0 1 0 0 1 0 0 1 1 0 0 1 0 2 2 0
2009-02-05T07:19:33.776  1 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0
2009-02-05T07:19:41.776  0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0
2009-02-05T07:19:49.776  0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1
2009-02-05T07:19:57.776  0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
2009-02-05T07:20:53.779  0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
2009-02-05T07:21:01.779  0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1
2009-02-05T07:21:25.783  0 0 0 0 1 1 1 1 0 0 2 0 0 0 1 0
2009-02-05T07:21:57.783  0 1 0 0 1 1 0 0 0 1 0 0 1 1 1 0
2009-02-05T07:22:21.786  0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0
2009-02-05T07:22:29.786  0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0
2009-02-05T07:22:37.785  0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
2009-02-05T07:22:45.785  0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
2009-02-05T07:24:37.793  1 0 0 1 0 0 1 2 0 1 0 0 0 0 0 0
2009-02-05T07:24:45.795  1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0
2009-02-05T07:25:17.798  0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
2009-02-05T07:25:49.796  0 0 1 1 1 1 1 0 3 1 0 1 0 0 0 0
2009-02-05T07:26:12.680  0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0
2009-02-05T07:26:45.799  0 2 1 0 1 0 0 0 1 0 2 0 0 0 0 0
2009-02-05T07:27:17.803  2 0 0 0 0 0 0 2 2 0 1 0 1 1 0 1
2009-02-05T07:27:41.802  1 0 0 0 0 0 0 2 3 0 3 1 0 0 1 0
2009-02-05T07:28:13.802  1 0 1 0 0 0 0 2 2 4 2 0 0 0 2 0
2009-02-05T07:28:45.808  0 0 1 0 1 0 0 0 2 4 1 2 2 0 1 0
2009-02-05T07:29:09.806  1 0 0 0 0 0 0 2 0 10 7 42 94 6 1 1
2009-02-05T07:29:41.812  1 0 0 0 1 0 0 0 0 4 19 74 39 1 2 0
2009-02-05T07:30:12.611  0 0 0 0 0 1 0 0 12 38 155 28 78 21 0 0
2009-02-05T07:30:37.813  0 0 0 1 1 1 0 1 13 14 256 229 135 10 1 0
2009-02-05T07:31:09.812  1 0 0 0 0 0 0 1 8 102 311 65 42 8 1 2
2009-02-05T07:31:17.816  0 1 0 2 0 0 2 3 7 71 482 331 114 46 1 0
2009-02-05T07:31:25.816  0 0 2 0 1 1 1 1 5 132 26 97 274 33 3 0
2009-02-05T07:31:32.780  0 0 1 0 0 3 2 2 19 64 63 96 21 24 2 1
2009-02-05T07:31:41.816  0 0 0 1 0 0 3 1 13 147 263 117 75 14 2 1
2009-02-05T07:31:49.816  0 1 1 0 3 0 2 1 13 20 43 203 61 8 1 0
2009-02-05T07:31:57.818  1 1 0 0 0 0 2 3 24 68 107 108 189 7 1 0
2009-02-05T07:32:05.818  0 0 0 0 1 0 1 4 19 77 108 85 74 22 3 1
2009-02-05T07:32:13.818  0 0 3 1 0 0 1 6 16 67 104 108 82 5 3 1
2009-02-05T07:32:37.759  0 0 0 2 1 1 0 16 30 86 130 165 34 37 3 0
2009-02-05T07:32:45.759  0 0 0 0 0 1 0 13 97 208 290 175 36 1 4 1
2009-02-05T07:32:53.759  0 0 0 1 1 0 3 2 51 82 176 60 49 45 0 0
2009-02-05T07:33:01.759  0 0 0 0 0 2 2 11 52 138 208 104 107 7 2 0
2009-02-05T07:33:33.760  1 0 0 1 1 1 4 47 74 200 225 211 115 25 0 0
2009-02-05T07:34:05.760  0 1 0 0 0 1 1 18 182 274 286 276 135 25 2 2
2009-02-05T07:35:01.765  0 0 2 0 1 2 8 53 117 267 220 327 81 10 0 1
2009-02-05T07:35:49.769  0 1 0 0 1 1 5 33 262 319 180 84 56 92 8 0
